label	id	approved	datestart	dateend	name	shortname	hashtag	homepage	presentation form	onlinebanner	city	country	venue	OSM-Link	lat	lon	coclink	Self-description	cfpdate	cfplink	type	tags	EntranceFee	Registration	ParticipantsLastTime	Main language	Main Organiser	Specialties	First Edition	Main Sponsors	Edition’s Topic	Technologies in use	Online Interactivity	Technical Liberties	Timezone	Twitter	Mastodon	Telegram	Git*	Instagram	LinkedIn	Facebook	Youtube	Matrix	Mailinglist	cancelled	replacement	replaces	cancellation_description
DrupalCamping			20210610	20210613	DrupalCamping am Allersee	DrupalCamping	#DrupalCamping	https://drupalcamping.de/barcamp/	offline	/img/eventbanners/2021/2021-drupal-camp-allersee.png	Wolfsburg	DE	Allersee	https://www.openstreetmap.org/way/131652496	52.43204	10.81483	https://drupalcamping.de/coc/	<p>Wir haben Plätze für 50 Teilnehmer*innen angemietet auf dem Zeltplatz am Allersee. Wir übernachten in eigenen Zelten und verpflegen uns gemeinsam, jede*r packt mit an. Bist Du ein Spitzenkoch oder eine versierte Rettungsschwimmerin? Super! Oder vielleicht nur Tellerwäscher*in? Auch super! Es gibt für jede*n eine Aufgabe!</p><p>Barcamp</p><p>Das DrupalCamping ist ein Barcamp. Jede*r kann einen Vortrag halten oder ein Diskussionsthema mitbringen, das muss auch nicht vorher angemeldet werden.</p><p>Bringt Eure Sessions / Themen mit. Wir stellen dann gemeinsam jeden Morgen eine Liste von Vorträgen für den jeweiligen Tag zusammen. Für die nötige Infrastruktur (WLAN, Beamer, Leinwand) sorgen wir.</p><p>Natürlich könnt Ihr auch einfach Sprinten, am See entspannen, Gespräche führen. Sollt Ihr sogar - Alles kann, nichts muss!</p><p>Abends gehen wir dann fließend zum geselligen Ausklang über, mit gemeinsamem Abendessen, Drinks und Sonnenuntergang. Klingt gut? Ist gut!</p><p>Sessions / Themen</p><p>Es sind Eure Vorschläge, also bringt spannende Inhalte mit zum Camp! Natürlich wird Drupal eine große Rolle dabei spielen, aber wird sind offen für Alles was euch beschäftigt. Hier ein paar Ideen dazu: #buildtools, #cloud, #community, #css, #datenschutz, #decoupled, #drupal, #frontend, #git, #headless, #hosting, #html, #opensource, #react, #sicherheit, #svelte, #vue</p><p>Was ist Euer persönlicher Hashtag? Wir sind gespannt!</p>			Project Event,Camping,Barcamp	Drupal	60,00 €	yes		DE										https://twitter.com/drupalcamping													
leHACK			20220624	20220625	le Hack 2022		#	https://lehack.org/		/img/eventbanners/2022/2022-leHACK.png	Paris	FR	Cité des Sciences et de l'Industrie 	https://www.openstreetmap.org/?mlat=48.8956&mlon=2.3879#map=16/48.8956/2.3879	48.8956	2.3879	nococ	Initiated in 2003 by a crew of people, who got together under the name of Hackerz Voice and inspired by the famous and biggest US hacking event named “DEFCON”. “La leHACK” is one of the oldest French underground hackers’ event which bring together, professionals and amateurs of any skill level, around lectures and challenges. Regardless of their skill, guests come to see and talk about the latest advances in IT Security to assess and/or improve their level.	20220408	https://submit.lehack.org/	Community Event		51 - 69 €	https://www.helloasso.com/associations/hzv/evenements/lehack-2021-kiss-the-future/	?	EN					Kiss the Future!					https://twitter.com/_leHACK_													
Pass the SALT			20220704	20220706	Pass the SALT 2022	Pass the SALT	#Pass the SALT	https://2022.pass-the-salt.org/		/img/eventbanners/2022/2022-pass-the-salt.png	Lille	FR	École polytechnique universitaire de l'université Lille 	https://www.openstreetmap.org/way/79509053	50.60775	3.13630	https://2022.pass-the-salt.org/code-of-conduct/	Dedicated to Free Software and Security.<br />Free as in free beer and as in Freedom.<br />English spoken conference.	20220415	https://cfp.pass-the-salt.org/pts2022/cfp	Community Event	Security	Zero	no	?	EN				Vates, RUDDER, Google, Quarkslab, Agence nationale de la sécurité des systèmes d’information, Societe Generate, SYNACKTIV, pretix, pretalx, POLYTECH Lille						https://twitter.com/passthesaltcon													
Wikidata Days 2020			20200702	20200704	Wikidata Days 2020			https://meta.wikimedia.org/wiki/WikiData_Days_2020			Carcavelos	PT	Nova School of Business and Economics	https://www.openstreetmap.org/way/504237613	38.6784839	-9.3279658	17				Project Event	Wikidata, Wikidate Days	?	yes	?	EN					share, collaborate,  transform: shaping data in a changing world 																		
Italian Hacker Camp			20200729	20200802	Italian Hacker Camp 2020	IHC	#IHC	https://ihc.camp			Padua	IT	FENICE Green Energy Park	https://www.openstreetmap.org/way/37959510	45.39966	11.91854					Community Event,Camping	Self-Organized,bi-yearly,		yes	650	EN										https://twitter.com/ihc_camp													
BornHack			20220803	20220810	BornHack			https://bornhack.dk/bornhack-2022/		/img/eventbanners/2022/2022-bornhack.png	Island of Funen	DK	Offroad	https://www.openstreetmap.org/#map=6/55.385601/9.939074	55.385601	9.939074	https://bornhack.dk/conduct/	<p>BornHack is a 7 day outdoor tent camp where hackers, makers and people with an interest in technology or security come together to celebrate technology, socialise, learn and have fun. </p>			Community Event,Camping		?	yes	?	EN										https://twitter.com/bornhax													
GNU Hackers Meeting			20221001	20221002	GNU Hackers Meeting 2022	GHM		https://www.gnu.org/ghm/2022/			İzmir	TR	Hotel Park Inn by Radisson	https://www.openstreetmap.org/node/8046288185	38.42722	27.13326	nococ	<p>The GNU Hackers' Meeting is a more or less annual event where developments in the GNU operating system are discussed and ideas exchanged. Unlike some larger events it has a friendly and welcoming atmosphere, and aims to make all participants feel at home.</p><p>The meeting is a semi-formal meeting usually spanning three days and is open to all people interested in the GNU operating system. Typically, the format includes talks, seminars and discussions, as well as a chance for social interaction with maintainers, users and developers of GNU software.</p>		https://www.gnu.org/ghm/2022/	Hackmeeting	GNU	20	https://www.gnu.org/ghm/2022/	?	EN																							
Lund Linux Conference	1674394437	yes	20230525	20230526	Lund Linux Conference 2023	LLC 2023		https://lundlinuxcon.org/offline			Lund	SE	Edison Science Park	https://www.openstreetmap.org/?mlat=55.7175&mlon=13.2182#map=16/55.7175/13.2182	55.7175	13.2182	https://lundlinuxcon.org/?page=code																																
Kielux	1666812315	yes	20230914	20230916	Kieler Open Source und Linux Tage	Kielux	#Kielux	https://kielux.de/			Kiel	DE	Kitz - Kieler Innovations- und Technologiezentrum	https://www.openstreetmap.org/way/18634679	54.33496	10.1191301		"<p>Alljährlich im September, in zeitlicher Nähe zum internationalen Software Freedom Day, finden in Kiel im Kieler Innovations- und Technologiezentrum die Kieler Open Source und Linux Tage statt.</p><p>Die Veranstaltung bietet ihren Besuchern eine ausgewogene Kombination aus Konferenz mit Vorträgen, Hands-on-Workshops, Ausstellung (diese wird es in diesem Jahr nicht oder in stark abgewandelter Form geben) und Rahmenprogramm. Auch das leibliche Wohl kommt dabei (normalerweise, 2020 ist alles anders) nicht zu kurz.</p><p>Das vielfältige Format eröffnet Besuchern, Firmen und Projekten viele Möglichkeiten, zwanglos miteinander in Kontakt zu treten und fördert den Ideenaustausch zwischen allen Beteiligten.</p><p>Die Themenauswahl der Vorträge und Workshops ist regelmäßig breit gefächert, so dass sowohl Einsteiger als auch Experten bei einem Besuch auf der ""Kielux"" auf ihre Kosten kommen.</p><p>Auch wenn die Kieler Open Source und Linux Tage einen starken regionalen Bezug haben, so kommen Besucher, Referenten und Aussteller aus allen Teilen Deutschlands.</p><p>Neben den ""großen"" Linuxtagen finden auch immer wieder in unregelmäßigen Abständen zusätzliche Veranstaltungen, wie zum Beispiel Thementage, Workshops oder Abendvorträge statt.</p><p>Der Eintritt ist frei - sowohl für die Zusatzveranstaltungen als auch für die Kieler Open Source und Linux Tage.BornHack is a 7 day outdoor tent camp where hackers, makers and people with an interest in technology or security come together to celebrate technology, socialise, learn and have fun.</p>"			Community Event		Zero	no	?	DE	Kieler Linux Initiative	Linux Presentation Day	2003						UTC+2	https://twitter.com/kielux	https://mastodon.social/@kielux												
Free/Libre Software and GNU/Linux			20210919	20210919	Free/Libre Software and GNU/Linux			https://osdn.org.ua/	offline		Kiev	UA	Nivki-hall	https://www.openstreetmap.org/node/3785206979	50.45948	30.40823	https://osdn.org.ua/#conduct	The Conference is a non-commercial, volunteer-organized event centered on free and open-source software. It is geared towards users, developers and anyone interested in the free and open-source software movement. The Conference is held annually since 2002, in September in Kyiv, Ukraine.			Community Event		Zero	https://osdn.org.ua/#registration	?	EN																							
MiniDebCamp Regensburg			20200923	20200925	MiniDebCamp Regensburg			https://wiki.debian.org/DebianEvents/de/2020/MiniDebConfRegensburg			Regensburg	DE	Ostbayrische Technische Hochschule	https://www.openstreetmap.org/?mlat=49.00329&mlon=12.09721#map=17/49.00329/12.09721	49.00329	12.09721	http://debconf.org/codeofconduct.shtml	The MiniDebcamp from Wednesday to Friday is a perfect opportunity to host Debian sprints. We would welcome if teams assemble and work together on their projects.			Hackmeeting	Debian	Zero	no	?	EN	Debian Hackers																						
MiniDebConf Regensburg			20200926	20200927	MiniDebConf Regensburg			https://wiki.debian.org/DebianEvents/de/2020/MiniDebConfRegensburg			Regensburg	DE	Ostbayrische Technische Hochschule	https://www.openstreetmap.org/?mlat=49.00329&mlon=12.09721#map=17/49.00329/12.09721	49.00329	12.09721	http://debconf.org/codeofconduct.shtml	MiniDebConfs are local meetings organized by Debian project members to achieve similar objectives to those of the DebConf, but on a regional context. 			Community Event	Debian	Zero	no	?	EN	Debian Hackers																						
Open Networking & Edge Summit			20200929	20200930	Open Networking & Edge Summit			https://events.linuxfoundation.org/open-networking-edge-summit-europe/			Antwerp	BE	Flanders Meeting & Convention Center	https://www.openstreetmap.org/way/499922860	51.2181	4.42184	https://events.linuxfoundation.org/open-networking-edge-summit-europe/attend/code-of-conduct/	Open Networking & Edge Summit (formerly Open Networking Summit) is the industry’s premier open networking event now expanded to comprehensively cover Edge Computing, Edge Cloud & IoT. Open Networking & Edge Summit (ONES) enables collaborative development and innovation across enterprises, service providers/telcos and cloud providers to shape the future of networking and edge computing.	20200607	https://events.linuxfoundation.org/open-networking-edge-summit-europe/program/cfp/	Business Event	Edge Computing,Edge Cloud,Open Networking,Linux Foundation	1025$	https://events.linuxfoundation.org/open-networking-edge-summit-europe/register/	?	EN	Linux Foundation																						
KVM Forum			20201026	20201028	KVM Forum			https://events.linuxfoundation.org/kvm-forum/	online			EU	On the Internet				https://events.linuxfoundation.org/kvm-forum/attend/code-of-conduct/	<p>KVM Forum is an annual event that presents a rare opportunity for developers and users to meet, discuss the state of Linux virtualization technology, and plan for the challenges ahead. This highly technical conference unites the developers who drive KVM development and the users who depend on KVM as part of their offerings, or to power their data centers and clouds.</p><p>Sessions include updates on the state of the KVM virtualization stack, planning for the future, and many opportunities for attendees to collaborate. After more than nine years in the mainline kernel, KVM continues to be a critical part of the FOSS cloud infrastructure. Come join us in continuing to improve the KVM ecosystem.</p>			Business Event	Linux,Virtualization	50$	https://events.linuxfoundation.org/kvm-forum/register/	?	EN	Linux Foundation																						
Embedded Open Source Summit	1674392795	yes	20230627	20230630	Embedded Open Source Summit 2023	EOSS2023	#EmbeddedOSSummit	https://events.linuxfoundation.org/embedded-open-source-summit/	hybrid	/img/eventbanners/2023/2023-EOSS_logo_white.svg 	Prague	CZ	Prague Congress Center	https://www.openstreetmap.org/way/8102317	50.06214	14.42856	https://events.linuxfoundation.org/embedded-open-source-summit/program/cfp/#code-of-conduct	<p>Embedded computing systems are essential to the operation of electronic devices and systems across a wide range of industries, and the Linux Foundation is host to numerous open source projects dedicated to this space.</p><p>Embedded Open Source Summit (EOSS) is a new umbrella event for open source embedded projects and developer communities to come together under one roof for important collaboration, discussions and education.</p><p>The event is composed of micro conferences including Embedded Linux Conference, Zephyr Developer Summit, Automotive Linux Summit & Embedded IOT Summit. Micro conferences will include presentations, BoFs, training, workshops and min-confs designed for real time problem solving and deep discussion.</p><p>Additional micro conferences in the EOSS umbrella will be announced soon. The conference will take place Tuesday, June 27 - Friday, June 30 with optional co-located events and training on Monday, June 26.</p>	20230210	https://events.linuxfoundation.org/embedded-open-source-summit/program/cfp/	Business Event	Embedded,Linux	?	https://events.linuxfoundation.org/embedded-open-source-summit/register/	?	EN	Linux Foundation			antmicro, intel, collabora		accelevents, sched.com	Q+A with the speakers	Red: user must use proprietary software to fully connect or participate	UTC+1	https://twitter.com/linuxfoundation				https://www.instagram.com/linux_foundation	https://www.linkedin.com/company/the-linux-foundation/	https://www.facebook.com/TheLinuxFoundation/	https://www.youtube.com/user/TheLinuxFoundation						
Open Source Summit Europe	1671528400	yes	20230919	20230921	Open Source Summit Europe		#ossummit	https://events.linuxfoundation.org/open-source-summit-europe/	hybrid		Bilbao	ES					https://events.linuxfoundation.org/archive/2022/open-source-summit-europe/attend/code-of-conduct/	Open Source Summit is the premier event for open source developers, technologists, and community leaders to collaborate, share information, solve problems and gain knowledge, furthering open source innovation and ensuring a sustainable open source ecosystem. It is the gathering place for open source code and community contributors.			Business Event	Open Source,Summit			2000	EN	The Linux Foundation									https://twitter.com/linuxfoundation					https://www.linkedin.com/company/the-linux-foundation/								"We are now holding Open Source Summit + Embedded Linux Conference September 27th-30th in Seattle, Washington. We had previously announced that the event would be held over these dates in Dublin, Ireland but ultimately decided the US would be a better option in 2021. (<a href=""https://events.linuxfoundation.org/open-source-summit-europe/"">source</a>)"
Linux Security Summit			20201029	20201030	Linux Security Summit			https://events.linuxfoundation.org/linux-security-summit-europe/	online			EU	On the internet				https://events.linuxfoundation.org/linux-security-summit-europe/attend/code-of-conduct/	<p>Linux Security Summit Europe 2020 is now a Virtual Event, taking place October 29-30 in the Greenwich Mean Time Zone </p><p>The Linux Security Summit (LSS) is a technical forum for collaboration between Linux developers, researchers, and end-users. Its primary aim is to foster community efforts in analyzing and solving Linux security challenges.</p><p>LSS will be held as two separate events, one in North America (LSS-NA), and one in Europe (LSS-EU), to facilitate broader participation in Linux Security development.</p>			Business Event	Linux,Security	125$	https://events.linuxfoundation.org/linux-security-summit-europe/register/	?	EN	Linux Foundation					Inxpo		Red: user must use proprietary software to fully connect or participate	UTC+1	https://twitter.com/linuxfoundation					https://www.linkedin.com/company/the-linux-foundation/								
Drupalcamp			20190215	20190217	Drupalcamp			https://paris2019.drupal.fr/			Paris	FR	Espace Saint-Martin	https://www.openstreetmap.org/?mlat=48.86336&mlon=2.35238#map=19/48.86336/2.35238	48.86336	48.86336	https://paris2019.drupal.fr/	Cet événement est organisé bénévolement par et pour la communauté Drupal. Il est porté administrativement et financièrement par l'association Drupal France et Francophonie.							?																								
Faqin			20190301	20190304	Faqin			https://www.faqin.org/			Madrid	ES	hidden				nococ	<p>The FAQin Congress is a free to attend, self-maintained, community-driven, sponsor-free event</p><p>Faqin encourages creativity and enables attendants to interact with each other in developing their own knowledge and exploring, showing, teaching, learning, sharing, *.* types of hacking.</p><p>We don't buy nor sell anything.</p>							?	EN																							
Congrés de Sobirania Tecnològica			20200229	20200229	V Congrés de Sobirania Tecnològica	Sobtec	#Sobtec	https://sobtec.cat/			Barcelona	ES	Lleialtat Santsenca	https://www.openstreetmap.org/way/264735742	41.3721	2.1366	nococ	El Congrés de Sobirania Tecnològica és un punt de trobada d'activistes, acadèmics i experts que pretén abordar aquesta temàtica des d'un punt de vista interdisciplinar i amb una clara voluntat divulgativa: acostar la ciutadania a aquest tema i sensibilitzar-la de l'impacte que té sobre els seus drets i llibertats fonamentals. promotor Sobtec, volem centrar-nos en un seguit de tecnologies, que comencen a agafar rellevància a partir dels anys 60, i que emmarquem dins del terme de tecnologies informàtiques.			Community Event		Zero	"<p>No és obligatoria la inscripció però sí que ens ajuda a preveure quanta gent vindrà. En cas que se superés l’aforament d’una sala, es donaria prioritat a les persones inscrites.</p><p>Només cal omplir aquest <a href=""https://formularis.sobtec.cat/inscripcions-sobtec-2020"">formulari</a></p>"	120	CA	Grup Promotor per la Sobirania Tecnològica									twitter.com/_sobtec	mastodont.cat/@sobtec												
installfest.cz			20220611	20220612	installfest.cz			https://installfest.cz/if22/		/img/eventbanners/2022/2022-if.png	Prague	CZ	Budova E Fakulty elektrotechnické	https://www.openstreetmap.org/?mlat=50.08006&mlon=14.39048#map=19/50.08006/14.39048	50.08006	14.39048		<p>Installfest je akce, kde se setkávají začátečníci s ostřílenými linuxáky, kteří jim pomáhají s GNU/Linux nebo problémy, které vyžadují více zkušeností. InstallFest pořádaný klubem Silicon Hill je ale o něco více akčnější, kromě instalací nabízí i přednášky a navíc je možné se zúčastnit i z domova.</p><p>Installfest je akce, která má své počátky v Americe. Týká se operačního systému GNU/Linux a jeho příznivců, kteří často pomáhali svým méně zkušeným kolegům s instalací tohoto operačního systému, až se jich sešlo více najednou a začali dělat takzvané instalační festivaly, čili installfesty. Jeden z prvních installfestů probíhal v knihovně. Účastníci si tam donesli své počítače (občas i rarity a polopočítače) a instalace mohli začít. Ostřílení linuxáci radili svým méně zkušeným kolegům, ale i mezi sebou si vyměňovali spoustu zajímavých zkušeností a panovala velmi přátelská a vzrušená atmosféra.</p><p>Takové installfesty jsou dnes pořádány po celém světě. Mnohdy mezi novinkami naleznete informaci, že se podařilo uskutečnit první installfest v Egyptě, na Islandu nebo někde úplně v divočině, kde byste si skoro netroufali doufat, že tam mají vůbec počítače. Ono to nemusí být na první pohled zřejmé, ale GNU/Linux lidi spojuje. A to velmi často díky atmosféře, která tento populární operačního systému obklopuje.</p>	20220425	https://pretalx.installfest.cz/installfest-2022/cfp	Community Event	installfest,czech republic	?	?	?	CS																							
Drupal Mountain Camp			20220623	20220626	Drupal Mountain Camp			https://drupalmountaincamp.ch/		/img/eventbanners/2022/2022-drupal-mountain-camp.png	Davos	CH	Davos Congress	https://www.openstreetmap.org/way/219442526	46.80074	9.83142	https://drupalmountaincamp.ch/code-conduct	<p>After a long break due to the Covid epidemic, we are happy to be back! In June 2022 the Drupal community from Switzerland and the world will gather again in beautiful Davos for the third Drupal Mountain Camp!</p><p>Join us for a long weekend of Open Source conferences, workshops and coworking in the mountain’s fresh air - and enjoy the wonders that the Swiss mountain has to offer, hiking, sunbathing, and more! The planning is still under construction, so share your wishes with us and follow us for more info!</p>	20220414	https://drupalmountaincamp.ch/node/add/session	Project Conference	Drupal,Davos	100 - 120 CHF	https://drupalmountaincamp.ch/	?	EN			2017	platform.sh, infomaniak, LIIP, MDSYSTEMS, soul.media, iqual, netnode, unic, LakeDrops, cyon, Happy Coding, HOSTPOINT, The Weekly Drop, amazee.io						https://twitter.com/mountaincampch													
Free Silicon Conference			20200604	20200606	Free Silicon Conference			https://f-si.org/			Paris	FR	Sorbonne University	https://www.openstreetmap.org/way/17044233#map=19/48.83982/2.35396	48.83982	2.35396									?																								
Taller de Periodismo de Datos			20190325	20190329	Taller de Periodismo de Datos			https://www.medialab-prado.es/programas/taller-de-periodismo-de-datos-2019-sigue-el-rastro-de-la-comida			Madrid	ES	Medialab Prado	https://www.openstreetmap.org/way/219016719	40.41052	-3.69359									?																								
Ausburger Linux-Infotag	1672925567	yes	20230429	20230429	19. Augsburger Linux-Infotag	LIT	#LIT2023	https://www.luga.de/Aktionen/LIT-2023/	offline		Augsburg	DE	Hochschule Augsburg	https://www.openstreetmap.org/index.html?mlat=48.3584&mlon=10.9061&zoom=16	48.3585	10.9062		<p>Visitors can inform themselves about Linux and open source software. The event is also about digital society, creative applications of technology, science and education.</p><p>The Linux-Infotag offers a program not only for experienced users, but also for beginners and those interested in network politics and digital society. Project booths offer the opportunity for direct contact.</p><p>The Linux-Infotag has been organized since 2001 by the Linux User Group Augsburg (LUGA) e.V. together with the Augsburg University of Applied Sciences. With regularly more than 350 visitors it is one of the oldest and largest Linux events in southern Germany. After a Corona-related break in the years 2020-2022, the event will be resumed in 2023.</p>	20230301	https://pretalx.luga.de/lit-2023/cfp	Community Event	Augsburg, Linux-Infotag	Zero	no	350	DE	Linux User Group Augsburg		"<a href=""https://www.luga.de/Aktionen/LIT/"">2002</a>"							https://twitter.com/lit_augsburg	https://chaos.social/@lug_augsburg												
17th Linux Session 			20200425	20200425	17th Linux Session 			https://17.sesja.linuksowa.pl/en			Wrocław	PL	Congress Center of the Wrocław University	https://www.openstreetmap.org/#map=18/51.11043/17.06002	51.11043	17.06002		Linux Session is a conference about Open Source solutions and latest trends in Linux-based systems.			Community Event	Linux Session,Poland,Warsaw	Zero	no	?	EN																							
DjangoCon Europe			20220921	20220925	DjangoCon Europe			https://2022.djangocon.eu/		/img/eventbanners/2022/2022-djangoconeu.png	Porto	PT	Super Bock Arena	https://www.openstreetmap.org/way/35341148	41.14683	-8.62587	https://2022.djangocon.eu/conduct/code_of_conduct/	<p>DjangoCon Europe is run by the community for the community.</p><p>This is the 14th edition of the Conference and it is organized by a team made up of Django practitioners from all levels. We welcome people from all over the world.</p><p>Our conference seeks to educate and develop new skills, best practices and ideas for the benefit of attendees, developers, speakers and everyone in our global Django Community, not least those watching the talks online.</p>	20220531	https://2022.djangocon.eu/talks/cfp/	Project Event	Django	65 - 365 €	https://2022.djangocon.eu/tickets/	?	EN										https://twitter.com/djangoconeurope													
DORS/CLUC			20220519	20220520	DORS/CLUC			https://2022.dorscluc.org/		/img/eventbanners/2022/2022-dorscluc.png	Zagreb	HR	Faculty of Electrical Engineering and Computing	https://www.openstreetmap.org/way/201559182	45.80075	15.97129	https://2022.dorscluc.org/code-of-conduct/	<p>DORS/CLUC – Dani otvorenih računarskih sustava / Croatian Linux Users’ Conference – is the oldest and biggest regional conference that covers free and open source software, open standards, and the Linux operating system. For the last 27 years, DORS/CLUC has brought together many prominent individuals and companies from the free and open source software community.</p><p>The conference is coordinated by HrOpen and HULK, two non-profit organizations that tirelessly work to promote open technologies and encourage their application in everyday life.</p><p>This year, the conference will take place on May 19th and 20th, at the Faculty of Electrical Engineering and Computing in Zagreb, Croatia. Once again, an interesting crowd will gather to attend talks about awesome free software topics.</p><p>During the two days of talks, workshops, and fun, DORS/CLUC becomes a place where students, FOSS enthusiasts, tinkerers, developers, hackers, freelancers, companies and the public sector representatives meet to learn, network, do business and plan projects together – all with focus on free software and Linux.</p><p>DORS/CLUC has traditionally been divided into two parts: keynotes/talks and workshops.</p><p>Keynotes and talks generally cover business topics, the latest experiences with FLOSS implementation and migration, and presentations of new tools and technologies, along with explanations on how to use them.</p><p>Workshops are mostly tech-oriented, and provide the attendees with an opportunity to learn how to use a particular technology, as well as how to troubleshoot and solve problems with free and open source software and hardware.</p<p>There is something for everyone at DORS/CLUC. Whether you are a beginner or an experienced member of the FOSS community, we believe that two days full of interesting talks, networking, and knowledge exchange will count as time well-spent.</p>	20220410	https://2022.dorscluc.org/submit-a-talk/	Community Event		350 - 1300 HRK	https://2022.dorscluc.org/tickets/	?	EN	HrOpen & Hulk																						
Easterhegg			20200410	20200413	Easterhegg	Easterhegg	#Easterhegg	https://eh20.easterhegg.eu/			Hamburg	DE	Kampnagel	https://www.openstreetmap.org/way/32991874	53.583056	10.020833	nococ	Der 20. Easterhegg wird unter dem Motto: “back to root” vom 10. bis 13.04.2020 in Hamburg stattfinden. Veranstaltungsort ist die zum Kulturzentrum gewandelte, ehemalige Maschinenfabrik Kampnagel. Hier wurden Anfang bis Mitte des 19. Jahrhunderts Schiffs- und Hafenkrane hergestellt. Für den runden Geburtstag lädt der Chaos Computer Club Hamburg in dieses wunderbare Areal ein, in dem sonst zeitgenössische darstellende Kunst gezeigt wird.	20200229	https://cfp.eh20.easterhegg.eu/eh20/cfp	Community Event	CCC	50€	500 tickets will be sold on two dates. For more information see the <a href=”https://eh20.easterhegg.eu/doku.php?id=tickets”>Easterhegg website</a>.	500	DE	Chaos Computer Club	The event offers self-organized sessions that can be filled by participants in an Unconference style. 	2001	This event has no sponsors	Back to root					https://twitter.com/ccchamburg													
Hack the Earth			20200410	20200413	Hack the Earth	Hack the Earth					Calafou	ES	Calafou	https://www.openstreetmap.org/way/159687510	41.51141	1.70228		We are publishing the workshops and confirmed presentations for the Hack the Earth 2019 on the theme of Futurotopias - Communities to change everything.  If you want to contribute a workshop or an activity you can send an email to Calafou (at) riseup.net to be programmed.  There will also be a space during the event for all the proposals that have come to us from people who want to share knowledge or art. All the info to sign up and other logistical issues can be found here.							?																								
Linuxwochen Eisenstadt			20210423	20210424	Linuxwochen			https://www.linuxwochen.at/linuxwochen-eisenstadt-summary	online								nococ	<p>Seit fast 20 Jahren trifft sich Ende April die Eisenstädter Informatiker-, IT- und Open Source-Community zu Vorträgen, News und Diskussionen rund um „Freie Software für alle“ und mehr.</p><p>Dies sind nun schon die zweiten „Linuxwochen“ die wegen Covid online stattfinden. Allerdings: Gerade IT-affine Menschen können gut in virtuelle Räume ausweichen.</p><p>Die letzten Monate Covid-Krise haben besonders deutlich gezeigt, wie wichtig die Informationstechnologie ist und was mit Ihrer Hilfe alles organisiert und bewältigt werden kann – und wie wichtig gerade freie Software als Toolbox dafür ist.</p><p>Zweifellos eine Bewährungsprobe für alle Trägerinnen und Träger von IT-Wissen; und vielleicht ein Motivationsschub für alle, die das noch werden wollen.</p>			Community Event		?	?	?	DE																							
Frühlingsfest			20190427	20190427	Frühlingsfest			https://fruehlingsfest.frama.site/			Munich	DE	Café Netzwerk	https://www.openstreetmap.org/node/957531675	48.1441	11.56245									?																								
Linuxwochen Wien			20210506	20210508	LinuxWochenWien			http://wien.linuxwochen.at/			Vienna	AT	FH Technikum Wien	https://www.openstreetmap.org/node/3664315650	48.239444	16.377778	nococ	<p>Linuxwochen Wien 2021 – 6. bis 8. Mai 2021 – FH Technikum Wien</p><p>Wissen sammeln, Wissen teilen – Linux / Open-Source-Software / Open-Hardware / kollaboratives KnowHow.</p><p>Die Digitalisierung drängt in immer mehr Bereiche unseres Lebens, und es ist unsere eigene Entscheidung, ob wir uns mit der Rolle des unwissenden Users zufrieden geben wollen. Eine digitale Gesellschaft braucht aktive Beteiligte in Technik, Wissenschaft und Bildung.</p><p>Open Source für DevOps, CD, Container und Orchestrierung dominiert zunehmend gegenüber proprietärer Konkurrenz. Die Linuxwochen Wien suchen aber nicht nur im Enterprise Bereich nach Vorträgen, Workshops und Anwendungsberichten, auch Desktop Software, Software-Entwicklung und vieles andere soll wieder Erwähnung finden.</p>			Community Event		?	?	?	DE										https://twitter.com/linuxwochen													
FOSSA			20190504	20190505	Free and Open Source Software Auditing 	EU-FOSSA2	#EU-FOSSA2	https://eufossahackathon.bemyapp.com/			Brussels	BE	Silversquare Europe	https://www.openstreetmap.org/node/2656943066	50.84073	4.36936		The next EU-FOSSA 2 Hackathon, on 4/5th May, has broadened its scope. It will still have a large focus on Apache Tomcat, but will now also include other communities under the Apache Software Foundation (ASF). Aditionally, the Hackathon will be offering training sessions on some of the latest ASF projects.			Hackathon,Public Administration		Zero		50																								
T-Dose			20200425	20200426	T-Dose			http://www.t-dose.org/			Geldrop / Eindhoven	NL	Hofdael	https://www.openstreetmap.org/#map=19/51.42298/5.56255	51.42298	5.56255	nococ	T-DOSE is a free and yearly event held in The Netherlands to promote use and development of Open Source Software. During this event, Open Source projects, developers and visitors can exchange ideas and knowledge.			Community Event	t-dose	?	?	?	EN / NL	T-DOSE Foundation									https://twitter.com/tdose													
LibreItaliaConf			20190511	20190511	LibreItaliaConf 2019			https://www.libreitalia.org/sesta-conferenza-italiana-libreitalia-2019/			Palermo	IT	Sala cinematografica «Vittorio De Seta»	https://www.openstreetmap.org/?mlat=38.1186680495739&mlon=13.337590098381042#map=18/38.11867/13.33759	38.11871	13.33759							Zero		?																								
Linux Presentation Day 2020.1			20200516	20200516	Linux Presentation Day 2020.1			http://linux-presentation-day.org/													Regional Day				?																								
Linux Presentation Day 2020.2			20201121	20201121	Linux Presentation Day 2020.2			http://linux-presentation-day.org/											 		Regional Day				?																								
